id,title,content,published_at,source_url,category
92,GOP prepared to block vote to replace Feinstein on Senate Judiciary,No Content,18-04-2023 22:03,https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Others
93,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,No Content,18-04-2023 17:33,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Others
94,McCarthy slams Biden in handling of US debt,No Content,18-04-2023 22:03,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Others
95,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,No Content,19-04-2023 08:35,https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Others
96,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,No Content,18-04-2023 09:41,https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Others
97,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,No Content,18-04-2023 15:09,https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Others
98,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,No Content,19-04-2023 01:49,https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Others
99,Southwest says flights resumed after delays caused by 'tech issues',No Content,18-04-2023 17:15,https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Others
100,Damar Hamlin cleared to resume football activities after January cardiac arrest,No Content,18-04-2023 22:11,https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Others
101,Pilot makes history after landing on top of a 56-story hotel,No Content,19-03-2023 11:22,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Others
102,Top US Navy admiral defends non-binary sailor amid some Republican criticism,No Content,18-04-2023 19:56,https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,Others
103,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,No Content,19-04-2023 15:31,https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,Others
104,High speed trains are racing across the world. But not in America,No Content,19-04-2023 02:39,https://www.cnn.com/travel/article/high-speed-rail-us/index.html,Others
105,Podcast: One country musician is calling for other artists to oppose assault rifles,No Content,,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,Others
230,"Obituary: Ratan Tata, the 'modest' Indian tycoon",No Content,09-10-2024 19:40,https://www.bbc.com/news/articles/cd11lz4vpr7o,Others
106,Here's what you need to know if you haven't filed your return yet — and even if you have,No Content,18-04-2023 14:15,https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,Others
107,"Undocumented immigrants are paying their taxes today, too",No Content,18-04-2023 18:29,https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,Others
108,Opinion: Why millionaires like us want to pay more in taxes,No Content,17-04-2023 19:32,https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,Others
109,'World's longest' purpose-built cycling tunnel opens in Norway,No Content,18-04-2023 10:44,https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,Others
110,Artist rejects photo prize after AI-generated image wins award,No Content,18-04-2023 15:27,https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,Others
111,These ships disappeared in Lake Superior a century ago. Watch as they're found again,No Content,18-04-2023 19:29,https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,Others
112,Erotic images of seniors show sex and intimacy in new light,No Content,18-04-2023 03:24,https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,Others
113,"China's economy is off to a solid start, rising 4.5% in Q1 2023",No Content,18-04-2023 07:01,https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,Others
114,"Even when wives make as much as husbands, they still do more at home",No Content,16-04-2023 17:29,https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,Others
115,McDonald's is upgrading its burgers,No Content,17-04-2023 16:31,https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,Others
116,Google-parent stock drops on fears it could lose search market share to AI-powered rivals,No Content,17-04-2023 15:52,https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,Others
117,Bidets save you money and reduce waste — we tested the best options out there,No Content,,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,Others
118,50+ products to make your life easier and our planet cleaner,No Content,,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,Others
119,Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love,No Content,,https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,Others
120,"A head-to-toe guide of how men should dress this spring, and where they should shop",No Content,,https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,Others
121,42 of the most useful travel products you can buy on Amazon,No Content,,https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,Others
122,The 7 best high-yield savings accounts of April 2023,No Content,,https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,Others
123,Taxes are due tomorrow. Here's how to file for an extension,No Content,,https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,Others
124,Composting is an easy way to reduce food waste. Here's how to do it,No Content,,https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,Others
125,We stopped using aluminum foil for cooking and you should too. Here's what to use instead,No Content,,https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,Others
126,The beloved Dyson Supersonic hair dryer is at its lowest price ever,No Content,,https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,Others
127,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",No Content,,https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,Others
128,The 10 best Amazon deals to shop this week,No Content,,https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,Others
129,Mifepristone saved my life,No Content,18-04-2023 11:30,https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,Others
130,The 2024 presidential alternative many voters will want,No Content,,https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,Others
131,Why isn't the House Judiciary Committee looking into Thomas?,No Content,17-04-2023 11:37,https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,Others
132,Top secrets come spilling out,No Content,16-04-2023 11:22,https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,Others
133,How did Sudan go from casting off despotic rule to this?,No Content,17-04-2023 22:45,https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,Others
134,Michelle Yeoh set to return in new 'Star Trek' movie,No Content,18-04-2023 19:11,https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,Others
135,Recap: 'Succession' finds dark humor in the aftershocks,No Content,17-04-2023 02:28,https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,Others
136,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it",No Content,01-05-2023 23:02,https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,Others
137,Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,No Content,16-04-2023 19:04,https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,Others
138,Review: 'Barry' takes a whack at its farewell season,No Content,14-04-2023 12:33,https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,Others
139,All the ways Donald Trump is promising to cut taxes if he wins,No Content,10-10-2024 17:21,https://qz.com/donald-trump-tax-policy-overtime-tips-income-tariffs-1851647624,Others
140,AMD is going after Nvidia with new AI chips,No Content,10-10-2024 17:15,https://qz.com/ai-chip-market-reach-500-billion-amd-data-center-nvidia-1851669774,Others
141,Hurricanes will make the Fed's job even harder as disasters muddy economic data,No Content,10-10-2024 16:19,https://qz.com/federal-reserve-hurricanes-fomc-interest-rates-economy-1851669572,Others
142,Delta says election-season flying fears will cost it almost $150 million,No Content,10-10-2024 16:14,https://qz.com/delta-air-lines-earnings-election-fears-1851669706,Others
231,India's Ratan Tata: in his own words,No Content,10-10-2024 03:58,https://www.bbc.com/news/videos/c5yw8evp9qdo,Others
143,Elon Musk's offer of 'free' Starlink internet for hurricane victims is a bait and switch,No Content,10-10-2024 15:48,https://qz.com/elon-musk-free-spacex-starlink-hurricane-helene-victims-1851669780,Others
144,Knockoff weight loss drug sellers are fighting back against Eli Lilly and the FDA,No Content,10-10-2024 15:30,https://qz.com/fda-zepbound-compounded-meds-1851669724,Others
145,"California's fast food minimum wage hike didn't cost jobs, study says",No Content,10-10-2024 15:26,https://qz.com/california-20-wage-hike-jobs-menu-increase-retail-1851669676,Others
146,Donald Trump bought Mar-a-Lago because his cab driver said it was cool,No Content,10-10-2024 14:57,https://qz.com/donald-trump-mar-a-lago-cab-driver-woodard-bernstein-1851669636,Others
147,Striking Boeing workers are 'in this for the long haul',No Content,10-10-2024 14:49,https://qz.com/boeing-strike-machinists-iam-contract-negotiations-1851669477,Others
148,BMW and Mercedes see sales dip,No Content,10-10-2024 14:04,https://qz.com/bmw-mercedes-sales-luxury-cars-1851669630,Others
149,Toyota says going all-in on electric cars will cost jobs,No Content,10-10-2024 14:00,https://qz.com/toyota-electric-cars-evs-auto-industry-jobs-1851669619,Others
150,The Dow slips 100 points as inflation comes in hotter than expected,No Content,10-10-2024 13:56,https://qz.com/consumer-price-index-cpi-inflation-dow-nasdaq-sp500-1851669593,Others
151,Elon Musk's Loop in Las Vegas is a magnet for trespassers and confused drivers,No Content,10-10-2024 13:28,https://qz.com/elon-musk-las-vegas-loop-boring-company-1851669543,Others
152,Donald Trump's latest tax cut promise is aimed at Americans living abroad,No Content,10-10-2024 13:15,https://qz.com/donald-trump-double-taxation-americans-abroad-tax-cuts-1851669514,Others
153,Stellantis cost-cutting could hit the top ranks next,No Content,10-10-2024 12:44,https://qz.com/stellantis-layoffs-carlos-tavares-management-sales-1851669488,Others
